PAIS,ICV
Islas Bermudas,141.74
Suiza,110.34
Bahamas,88.27
Barbados,87.07
Islandia,86.59
Noruega,85.93
Jersey,80.38
Singapur,79.09
Israel,77.28
Hong Kong,76.55
Dinamarca,73.09
Australia,72.27
Luxemburgo,72.15
Guernesey,70.88
Estados Unidos,69.92
Nueva Zelanda,68.96
Canadá,68.78
Líbano,68.53
Macao,68.39
Países Bajos,67.71
Corea del Sur,66.95
Irlanda,66.73
Francia,65.55
Puerto Rico,64.58
Austria,64.11
Finlandia,63.75
Bélgica,62.8
Japón,62.77
Suecia,61.77
Catar,60.56
Reino Unido,60.42
Alemania,59.62
Uruguay,59.05
Italia,58.47
Emiratos Árabes Unidos,58.01
Malta,57.71
Taiwán,55.95
Maldivas,54.49
Cuba,54.02
Baréin,53.84
Trinidad y Tobago,53.38
Chipre,52.48
Jamaica,50.75
Arabia Saudita,50.35
Palestina,50.25
Grecia,50.23
Belice,49.55
Estonia,49.47
Panamá,48.25
Omán,48.11
Rusia,48.07
Jordania,47.53
España,47.51
Eslovenia,47.3
Guyana,46.87
Kuwait,46
Camboya,45.73
Letonia,45.21
República Checa,44.33
Croacia,43.74
Costa Rica,43.65
Brunéi,43.37
Lituania,43.1
El Salvador,42.94
Zimbabue,42.54
Portugal,42.18
República Dominicana,41.97
Venezuela,41.77
Etiopía,41.74
Guatemala,41.34
Eslovaquia,41.03
Mauricio,40.68
China,40.31
Fiyi,39.37
Armenia,38.96
Honduras,38.91
Tailandia,38.62
Costa de Marfil,38.24
Sudáfrica,37.94
Bulgaria,37.58
Nicaragua,37.17
Chile,37.16
Botsuana,36.52
Irán,36.49
Ecuador,35.73
Namibia,35.59
Vietnam,35.59
México,35.14
Polonia,35.06
Rumania,34.93
Georgia,34.85
Brasil,34.81
Montenegro,34.74
Hungría,34.64
Malasia,34.41
Mongolia,33.69
Filipinas,33.62
Albania,33.6
Kenia,33.36
Serbia,33.35
Birmania,33.14
Bolivia,32.57
Camerún,32.5
Bosnia y Herzegovina,32.24
Indonesia,32.2
Argentina,32.13
Somalia,31.92
Irak,31.81
Uganda,31.41
Ruanda,30.82
Perú,30.74
Ucrania,30.7
Paraguay,30.24
Tanzania,30.13
Nigeria,30.01
Ghana,29.98
Marruecos,29.71
Bangladés,29.28
Moldavia,28.92
Macedonia del Norte,28.51
Turquía,28.38
Azerbaiyán,28.33
Kazajistán,26.45
Bielorrusia,26.39
Uzbekistán,26.3
Egipto,26.27
Nepal,26.18
Kirguistán,25.83
Siria,25.82
Túnez,25.48
Colombia,25.23
Kosovo,25.23
Argelia,25.08
Libia,24.6
India,23.89
Sri Lanka,22.41
Pakistán,17.78